FID_,LEFT_FID,RIGHT_FID,ORIG_FID,X,Y
,-1,23,2,-213144,3297992
,-1,23,2,-214528,3298557
,-1,23,2,-214519,3300879
,-1,23,2,-215616,3300923
,-1,23,2,-216602,3301274
,-1,23,2,-217991,3301650
,-1,23,2,-220754,3302470
,-1,23,2,-224287,3303542
,-1,23,2,-224363,3304150
,-1,23,2,-224094,3305630
,-1,23,2,-224871,3306048
,-1,23,2,-226842,3306264
,-1,23,2,-226897,3305675
,-1,23,2,-228082,3305696
,-1,23,2,-228271,3306333
,-1,23,2,-230030,3307196
,-1,23,2,-230198,3307721
,-1,23,2,-229825,3309585
,-1,23,2,-231583,3310102
,-1,23,2,-231668,3310298
,-1,23,2,-230777,3314462
,-1,23,2,-233046,3315059
,-1,23,2,-233414,3313787
,-1,23,2,-234837,3313245
,-1,23,2,-235689,3312174
,-1,23,2,-236027,3311213
,-1,23,2,-236739,3310948
,-1,23,2,-236758,3310749
,-1,23,2,-236962,3310550
,-1,23,2,-237433,3309074
,-1,23,2,-237651,3308686
,-1,23,2,-238161,3308419
,-1,23,2,-240307,3307816
,-1,23,2,-240607,3307825
,-1,23,2,-241733,3309188
,-1,23,2,-244246,3311507
,-1,23,2,-246505,3313810
,-1,23,2,-248788,3316430
,-1,23,2,-248982,3316466
,-1,23,2,-250318,3315789
,-1,23,2,-250298,3314000
,-1,23,2,-251630,3313547
,-1,23,2,-252148,3313182
,-1,23,2,-252698,3311914
,-1,23,2,-252514,3311588
,-1,23,2,-252651,3311206
,-1,23,2,-253379,3310354
,-1,23,2,-253701,3309762
,-1,23,2,-254122,3309379
,-1,23,2,-254924,3307213
,-1,23,2,-256218,3307486
,-1,23,2,-257474,3306247
,-1,23,2,-258505,3305406
,-1,23,2,-259292,3305732
,-1,23,2,-259603,3305442
,-1,23,2,-262355,3306585
,-1,23,2,-263158,3304633
,-1,23,2,-265638,3305244
,-1,23,2,-265935,3305154
,-1,23,2,-271191,3305991
,-1,23,2,-271635,3305131
,-1,23,2,-272173,3304066
,-1,23,2,-272932,3302895
,-1,23,2,-275598,3303728
,-1,23,2,-279181,3304189
,-1,23,2,-279685,3306119
,-1,23,2,-280537,3306847
,-1,23,2,-280718,3307264
,-1,23,2,-281767,3308600
,-1,23,2,-282422,3309245
,-1,23,2,-282616,3309686
,-1,23,2,-282770,3310570
,-1,23,2,-282952,3310954
,-1,23,2,-283320,3311487
,-1,23,2,-283606,3311801
,-1,23,2,-283675,3312511
,-1,23,2,-283872,3312717
,-1,23,2,-284279,3313029
,-1,23,2,-284704,3313858
,-1,23,2,-284996,3313971
,-1,23,2,-285583,3314488
,-1,23,2,-286092,3314407
,-1,23,2,-286794,3314050
,-1,23,2,-287641,3313392
,-1,23,2,-288044,3313213
,-1,23,2,-288751,3312935
,-1,23,2,-289881,3312503
,-1,23,2,-290070,3312608
,-1,23,2,-291156,3313167
,-1,23,2,-291338,3313350
,-1,23,2,-291523,3313690
,-1,23,2,-291614,3313988
,-1,23,2,-291565,3314902
,-1,23,2,-291721,3315530
,-1,23,2,-291936,3315771
,-1,23,2,-292333,3315402
,-1,23,2,-294325,3313633
,-1,23,2,-296262,3312722
,-1,23,2,-298192,3312303
,-1,23,2,-299490,3312369
,-1,23,2,-299822,3311871
,-1,23,2,-300633,3311426
,-1,23,2,-301428,3311281
,-1,23,2,-302721,3311415
,-1,23,2,-303944,3310894
,-1,23,2,-304760,3310707
,-1,23,2,-305567,3310878
,-1,23,2,-305739,3310982
,-1,23,2,-305935,3310999
,-1,23,2,-306137,3311196
,-1,23,2,-306534,3311409
,-1,23,2,-306730,3311303
,-1,23,2,-306829,3311111
,-1,23,2,-306985,3310520
,-1,23,2,-307389,3310343
,-1,23,2,-308565,3310625
,-1,23,2,-308770,3310721
,-1,23,2,-308954,3310939
,-1,23,2,-309477,3312652
,-1,23,2,-309848,3312987
,-1,23,2,-310351,3313177
,-1,23,2,-310536,3313316
,-1,23,2,-310995,3314129
,-1,23,2,-311181,3314324
,-1,23,2,-311479,3314362
,-1,23,2,-312186,3314290
,-1,23,2,-312887,3313916
,-1,23,2,-313397,3313850
,-1,23,2,-314276,3314499
,-1,23,2,-314973,3314729
,-1,23,2,-315672,3314748
,-1,23,2,-316573,3314594
,-1,23,2,-316783,3314512
,-1,23,2,-317433,3313440
,-1,23,2,-317851,3313064
,-1,23,2,-317963,3312973
,-1,23,2,-318266,3312777
,-1,23,2,-318385,3312373
,-1,23,2,-318493,3312081
,-1,23,2,-318431,3311493
,-1,23,2,-318055,3310866
,-1,23,2,-317570,3310352
,-1,23,2,-317589,3309951
,-1,23,2,-317820,3309457
,-1,23,2,-317704,3307644
,-1,23,2,-317192,3307542
,-1,23,2,-316963,3306615
,-1,23,2,-317167,3306421
,-1,23,2,-317537,3306275
,-1,23,2,-317583,3306257
,-1,23,2,-317683,3306053
,-1,23,2,-318585,3306101
,-1,23,2,-319679,3307957
,-1,23,2,-319781,3309187
,-1,23,2,-319980,3309955
,-1,23,2,-320567,3310680
,-1,23,2,-324506,3313045
,-1,23,2,-327249,3316322
,-1,23,2,-329570,3320828
,-1,23,2,-329882,3320711
,-1,18,3,-119411,3317293
,-1,18,3,-119760,3315821
,-1,18,3,-121107,3316816
,-1,18,3,-126229,3320856
,-1,18,3,-126633,3320648
,-1,18,3,-126948,3320492
,-1,18,3,-129645,3318493
,-1,18,3,-129795,3317383
,-1,18,3,-130159,3315924
,-1,18,3,-130494,3315256
,-1,18,3,-130659,3315942
,-1,18,3,-131891,3315721
,-1,18,3,-133027,3312439
,-1,18,3,-134541,3312262
,-1,18,3,-135375,3311814
,-1,18,3,-135776,3311596
,-1,18,3,-136641,3310223
,-1,18,3,-137137,3310064
,-1,18,3,-138552,3310109
,-1,18,3,-139935,3308077
,-1,18,3,-142816,3308427
,-1,18,3,-144498,3309020
,-1,18,3,-147939,3310279
,-1,18,3,-151383,3311552
,-1,18,3,-154797,3311221
,-1,18,3,-154883,3311616
,-1,18,3,-154963,3312021
,-1,18,3,-155146,3312442
,-1,18,3,-154728,3312792
,-1,18,3,-154532,3312906
,-1,18,3,-154682,3313705
,-1,18,3,-155961,3313973
,-1,18,3,-155941,3314776
,-1,18,3,-156175,3315891
,-1,18,3,-156090,3317673
,-1,18,3,-157007,3317602
,-1,18,3,-157076,3316188
,-1,18,3,-158755,3316475
,-1,18,3,-161635,3317154
,-1,18,3,-162976,3317450
,-1,18,3,-164207,3317652
,-1,18,3,-167090,3317900
,-1,18,3,-166859,3320791
,-1,18,3,-165759,3320739
,-1,18,3,-165144,3321100
,-1,18,3,-165277,3322535
,-1,18,3,-165778,3324356
,-1,18,3,-165431,3325947
,-1,18,3,-166290,3326378
,-1,18,3,-167772,3324440
,-1,18,3,-168629,3323889
,-1,18,3,-168849,3325295
,-1,18,3,-168938,3325601
,-1,18,3,-170027,3325743
,-1,18,3,-172216,3325939
,-1,18,3,-173022,3325901
,-1,18,3,-174062,3324736
,-1,18,3,-173075,3324597
,-1,18,3,-175398,3322235
,-1,18,3,-175821,3321620
,-1,18,3,-178578,3322563
,-1,18,3,-179708,3319908
,-1,18,3,-181628,3321380
,-1,18,3,-181730,3323707
,-1,18,3,-182008,3324324
,-1,18,3,-183614,3324163
,-1,18,3,-185137,3325359
,-1,18,3,-186247,3325318
,-1,18,3,-189487,3324777
,-1,18,3,-192556,3323604
,-1,18,3,-193369,3322957
,-1,18,3,-193432,3322893
,-1,25,4,373253,3337833
,-1,25,4,370546,3304733
,-1,25,4,373097,3304464
,-1,25,4,391404,3302739
,-1,25,4,391174,3293552
,-1,25,4,403841,3291679
,-1,25,4,403033,3285103
,-1,25,4,403502,3283855
,-1,25,4,404418,3283174
,-1,25,4,405805,3283378
,-1,25,4,404156,3269057
,-1,25,4,404043,3269123
,-1,25,4,400703,3270663
,-1,25,4,389807,3276324
,-1,25,4,385356,3272778
,-1,25,4,381173,3265042
,-1,25,4,380044,3262300
,-1,25,4,379206,3259644
,-1,25,4,378659,3257748
,-1,25,4,376581,3250817
,-1,25,4,371276,3243127
,-1,25,4,368724,3238417
,-1,25,4,366827,3233922
,-1,25,4,366404,3232893
,-1,25,4,366092,3232145
,-1,25,4,365756,3231416
,-1,25,4,364792,3231005
,-1,25,4,363377,3229999
,-1,25,4,361267,3227895
,-1,25,4,360237,3229191
,-1,25,4,359227,3229292
,-1,25,4,358780,3229773
,-1,25,4,357717,3231470
,-1,25,4,356999,3232708
,-1,25,4,356745,3233288
,-1,25,4,355232,3236553
,-1,25,4,354777,3237011
,-1,25,4,354351,3237921
,-1,25,4,346897,3241391
,-1,25,4,344507,3242671
,-1,25,4,343304,3242612
,-1,25,4,341405,3240931
,-1,25,4,340183,3241665
,-1,25,4,337136,3240448
,-1,25,4,334194,3235921
,-1,25,4,334586,3235074
,-1,25,4,334330,3234513
,-1,25,4,333701,3233749
,-1,25,4,333261,3233104
,-1,25,4,333396,3232680
,-1,25,4,330383,3226226
,-1,25,4,327386,3223917
,-1,25,4,327906,3221537
,-1,25,4,325908,3219253
,-1,25,4,323369,3218521
,-1,25,4,320349,3219650
,-1,25,4,317754,3218402
,-1,25,4,310169,3215696
,-1,25,4,306967,3214506
,-1,25,4,305999,3214100
,-1,25,4,304547,3214570
,-1,25,4,302328,3214663
,-1,25,4,296454,3209795
,-1,25,4,295494,3203882
,-1,25,4,279943,3205954
,25,13,5,373253,3337833
,25,13,5,351622,3340382
,-1,22,6,186229,3318607
,-1,22,6,172013,3320683
,-1,22,6,162786,3321537
,-1,22,6,160401,3321539
,-1,22,6,160614,3324238
,-1,22,6,160530,3326533
,-1,22,6,160363,3327452
,-1,22,6,160345,3329036
,-1,22,6,160142,3331348
,-1,22,6,159824,3332963
,-1,22,6,159423,3335099
,-1,22,6,157362,3334001
,-1,22,6,157129,3335196
,-1,22,6,156746,3335413
,-1,22,6,154964,3336193
,-1,22,6,154549,3335527
,-1,22,6,153318,3334859
,-1,22,6,152749,3335616
,-1,22,6,151021,3337292
,-1,22,6,148387,3336778
,-1,22,6,147505,3337042
,-1,22,6,145458,3338038
,-1,22,6,143664,3338020
,-1,22,6,142827,3339570
,-1,22,6,142411,3339575
,-1,22,6,142161,3340402
,-1,22,6,141448,3340139
,25,21,7,321052,3343985
,25,21,7,319065,3327457
,25,21,7,307137,3327521
,25,21,7,304637,3313952
,25,21,7,289682,3314791
,25,21,7,288239,3314247
,25,21,7,287973,3313688
,25,21,7,288169,3312765
,25,21,7,288059,3312029
,25,21,7,288347,3311661
,25,21,7,289042,3311662
,25,21,7,288869,3310965
,25,21,7,289335,3310500
,25,21,7,289913,3310727
,25,21,7,290484,3311177
,25,21,7,290895,3310707
,25,21,7,290686,3309460
,25,21,7,290982,3309193
,25,21,7,292066,3309194
,25,21,7,291243,3307884
,25,21,7,290045,3306264
,25,21,7,289063,3306340
,25,21,7,287237,3306212
,25,21,7,284205,3306492
,25,21,7,274237,3307401
,25,21,7,272903,3299661
,25,21,7,271280,3299558
,25,6,8,351622,3340382
,25,6,8,321052,3343985
,-1,3,9,141448,3340139
,-1,3,9,141063,3340558
,-1,3,9,139649,3340122
,-1,3,9,138855,3340135
,-1,3,9,136606,3339354
,-1,3,9,133560,3338199
,-1,3,9,131661,3338383
,-1,3,9,127784,3339042
,-1,3,9,121294,3339580
,-1,3,9,120492,3339497
,-1,3,9,118033,3340026
,-1,3,9,118581,3336598
,-1,3,9,118848,3333996
,-1,3,9,118601,3332816
,-1,3,9,117236,3331577
,-1,3,9,116002,3330911
,-1,3,9,115671,3330130
,-1,3,9,114791,3328383
,-1,3,9,114190,3328207
,-1,3,9,113093,3328462
,-1,3,9,113059,3325650
,-1,3,9,113761,3325416
,-1,3,9,113313,3322322
,-1,3,9,112997,3319858
,-1,3,9,112597,3317581
,-1,3,9,112415,3315980
,-1,3,9,108155,3316794
,-1,3,9,104960,3317132
,-1,3,9,102162,3319359
,-1,3,9,98581,3319635
,-1,3,9,98050,3321160
,-1,3,9,97130,3322807
,-1,3,9,96315,3324837
,-1,3,9,96947,3325724
,-1,3,9,98098,3328556
,-1,3,9,94120,3329038
,-1,3,9,93003,3329119
,-1,3,9,91236,3329385
,-1,3,9,85143,3330168
,-1,3,9,82863,3330470
,-1,3,9,83182,3332965
,-1,3,9,83731,3336034
,-1,3,9,82133,3336197
,-1,3,9,82149,3336889
,-1,3,9,80247,3336900
,-1,3,9,79452,3334830
,-1,3,9,77585,3333215
,-1,3,9,76653,3334544
,-1,3,9,71994,3331401
,-1,3,9,70714,3331843
,-1,3,9,70334,3327876
,-1,3,9,66369,3328546
,-1,3,9,60809,3329493
,-1,3,9,59511,3329783
,-1,3,9,48394,3331596
,-1,3,9,40651,3332858
,-1,3,9,40949,3335136
,-1,3,9,41001,3336241
,-1,3,9,41347,3339423
,-1,3,9,43194,3349258
,-1,3,9,36139,3349891
,-1,3,9,28582,3351126
,-1,3,9,27996,3351177
,-1,3,9,18644,3352597
,-1,20,10,18644,3352597
,-1,20,10,18342,3352640
,-1,20,10,17693,3349269
,-1,20,10,16627,3341592
,-1,20,10,16398,3340900
,-1,20,10,15949,3337720
,-1,20,10,14597,3327992
,-1,20,10,13831,3324610
,-1,20,10,13562,3322758
,-1,20,10,12954,3318553
,-1,20,10,4926,3319837
,-1,20,10,-6707,3321590
,-1,20,10,-8393,3321973
,-1,20,10,-22410,3324142
,-1,20,10,-23309,3324270
,-1,20,10,-27703,3324927
,-1,20,10,-29267,3325162
,-1,20,10,-35028,3326029
,-1,20,10,-40887,3326996
,-1,20,10,-45860,3327648
,-1,20,10,-45013,3332889
,-1,20,10,-44280,3337875
,-1,20,10,-46692,3337494
,-1,20,10,-47309,3337413
,-1,20,10,-52899,3337594
,-1,20,10,-55916,3337307
,-1,20,10,-57831,3337115
,-1,20,10,-58363,3336321
,-1,20,10,-59363,3336594
,-1,20,10,-59579,3336274
,-1,20,10,-59727,3334894
,-1,20,10,-62122,3335114
,-1,20,10,-60845,3336764
,-1,20,10,-64272,3336012
,-1,20,10,-66117,3335299
,-1,20,10,-66667,3331931
,-1,20,10,-66805,3331231
,-1,20,10,-67717,3326598
,-1,20,10,-67770,3325785
,-1,20,10,-67137,3324345
,-1,20,10,-67755,3323778
,-1,20,10,-68352,3324001
,-1,20,10,-68800,3322716
,-1,20,10,-69467,3321648
,-1,20,10,-67521,3320160
,-1,20,10,-68987,3318717
,-1,20,10,-71102,3320721
,-1,20,10,-71417,3320449
,-1,20,10,-71951,3319780
,-1,20,10,-73665,3317251
,-1,20,10,-77176,3316902
,-1,20,10,-78009,3316341
,-1,20,10,-79524,3316118
,-1,20,10,-80208,3309956
,-1,20,10,-80994,3306105
,-1,20,10,-84357,3306752
,-1,20,10,-89817,3308003
,-1,20,10,-91482,3308492
,-1,20,10,-95241,3309461
,-1,20,10,-95741,3309698
,-1,20,10,-97323,3310176
,-1,20,10,-97670,3311000
,-1,20,10,-98587,3310724
,-1,20,10,-98620,3310123
,-1,20,10,-100033,3309806
,-1,20,10,-100434,3309896
,-1,20,10,-100350,3311310
,-1,20,10,-101668,3311281
,-1,20,10,-102634,3309513
,-1,20,10,-103964,3309084
,-1,20,10,-103834,3307976
,-1,20,10,-104481,3306534
,-1,20,10,-105548,3304960
,-1,20,10,-108128,3303666
,-1,20,10,-109155,3303999
,-1,20,10,-109975,3304270
,-1,20,10,-109659,3304951
,-1,20,10,-109940,3305384
,-1,20,10,-110889,3306596
,-1,20,10,-111704,3308562
,-1,20,10,-113785,3308752
,-1,20,10,-113751,3309464
,-1,20,10,-114319,3312584
,-1,20,10,-115715,3314648
,-1,20,10,-117313,3317122
,-1,20,10,-118212,3316751
,-1,20,10,-119410,3317315
,-1,20,10,-119411,3317293
,24,22,11,210941,3353571
,24,22,11,208812,3352203
,24,22,11,209058,3350989
,24,22,11,208036,3350492
,24,22,11,207487,3351364
,24,22,11,190621,3341587
,24,22,11,188470,3340477
,24,22,11,188052,3339203
,24,22,11,187659,3336938
,24,22,11,187578,3336029
,24,22,11,187488,3334484
,24,22,11,186942,3330412
,24,22,11,186262,3320652
,24,22,11,186229,3318607
,24,21,12,271280,3299558
,24,21,12,253185,3302550
,24,21,12,254487,3308567
,24,21,12,244577,3310200
,24,21,12,225916,3341485
,24,21,12,216696,3345334
,24,21,12,210941,3353571
,20,3,13,18644,3352597
,20,3,13,19203,3363238
,-1,13,14,423323,3366724
,-1,13,14,421759,3350247
,-1,13,14,411283,3350912
,-1,13,14,400427,3352035
,-1,13,14,398639,3335738
,-1,13,14,373310,3338579
,-1,13,14,373253,3337833
,22,21,15,210941,3353571
,22,21,15,211559,3353966
,22,21,15,212236,3352946
,22,21,15,212467,3352424
,22,21,15,213021,3351319
,22,21,15,214903,3351770
,22,21,15,219979,3356489
,22,21,15,220435,3356094
,22,21,15,222004,3358115
,22,21,15,222106,3358625
,22,21,15,232778,3357291
,22,21,15,235087,3374916
,22,21,15,235887,3381263
,23,18,16,-193432,3322893
,23,18,16,-194017,3324009
,23,18,16,-194233,3324825
,23,18,16,-194950,3324731
,23,18,16,-195859,3325005
,23,18,16,-196677,3324950
,23,18,16,-197049,3325194
,23,18,16,-198029,3324959
,23,18,16,-198401,3324165
,23,18,16,-199673,3324148
,23,18,16,-198301,3338721
,23,18,16,-199263,3338843
,23,18,16,-199683,3339649
,23,18,16,-200464,3340375
,23,18,16,-200927,3340882
,23,18,16,-201542,3341855
,23,18,16,-201357,3343085
,23,18,16,-202305,3344536
,23,18,16,-203550,3346172
,23,18,16,-205291,3345514
,23,18,16,-204948,3343718
,23,18,16,-206190,3343836
,23,18,16,-207224,3344088
,23,18,16,-208576,3344079
,23,18,16,-210027,3344144
,23,18,16,-211899,3345006
,23,18,16,-211425,3349959
,23,18,16,-209438,3349962
,23,18,16,-209392,3354583
,23,18,16,-212697,3354751
,23,18,16,-216050,3355617
,23,18,16,-216140,3357377
,23,18,16,-215690,3359851
,23,18,16,-214971,3359985
,23,18,16,-213869,3364230
,23,18,16,-212113,3364200
,23,18,16,-212205,3368037
,23,18,16,-213220,3368647
,23,18,16,-214037,3371323
,23,18,16,-212996,3371762
,23,18,16,-216129,3381778
,23,18,16,-218215,3383474
,22,3,17,145801,3385833
,22,3,17,144190,3381635
,22,3,17,142889,3380052
,22,3,17,141690,3379600
,22,3,17,139871,3378343
,22,3,17,138152,3379245
,22,3,17,137591,3378709
,22,3,17,138247,3377541
,22,3,17,137419,3376738
,22,3,17,137707,3375399
,22,3,17,138378,3374533
,22,3,17,136441,3374020
,22,3,17,134652,3372298
,22,3,17,133574,3371241
,22,3,17,133050,3368319
,22,3,17,135712,3366961
,22,3,17,136777,3364168
,22,3,17,137872,3362124
,22,3,17,136617,3360992
,22,3,17,135865,3360728
,22,3,17,135332,3360216
,22,3,17,134407,3360113
,22,3,17,133801,3358695
,22,3,17,132731,3358721
,22,3,17,131534,3359267
,22,3,17,131303,3359816
,22,3,17,130177,3359204
,22,3,17,128493,3359142
,22,3,17,125597,3358868
,22,3,17,124708,3358948
,22,3,17,123545,3357656
,22,3,17,122764,3355732
,22,3,17,122093,3355106
,22,3,17,120379,3354912
,22,3,17,119024,3354419
,22,3,17,119383,3353360
,22,3,17,119504,3351724
,22,3,17,121269,3351283
,22,3,17,123091,3351503
,22,3,17,124697,3353100
,22,3,17,128724,3353482
,22,3,17,132689,3353218
,22,3,17,135213,3353750
,22,3,17,138297,3354151
,22,3,17,140180,3354003
,22,3,17,141513,3353131
,22,3,17,143395,3352527
,22,3,17,143969,3351257
,22,3,17,144747,3350430
,22,3,17,143241,3349340
,22,3,17,141723,3348620
,22,3,17,140806,3347578
,22,3,17,139170,3346977
,22,3,17,138190,3346257
,22,3,17,139390,3344720
,22,3,17,141082,3344364
,22,3,17,141995,3344212
,22,3,17,141880,3343459
,22,3,17,140864,3343094
,22,3,17,140984,3342776
,22,3,17,141448,3340139
,21,12,18,237093,3390948
,21,12,18,235887,3381263
,22,12,19,235887,3381263
,22,12,19,230828,3381804
,22,12,19,222991,3383232
,22,12,19,222912,3384199
,22,12,19,215186,3384278
,22,12,19,191555,3386211
,22,12,19,191414,3384337
,22,12,19,160120,3390667
,22,12,19,159921,3391841
,22,12,19,160511,3394481
,22,12,19,158095,3392058
,22,12,19,156757,3391282
,22,12,19,156081,3391620
,22,12,19,154348,3390615
,22,12,19,153293,3390389
,22,12,19,151395,3390182
,22,12,19,149690,3388735
,22,12,19,145801,3385833
,23,7,20,-270943,3395476
,23,7,20,-271869,3379127
,23,7,20,-279366,3379671
,23,7,20,-279769,3373438
,23,7,20,-286933,3374071
,23,7,20,-287104,3370068
,23,7,20,-290320,3370504
,23,7,20,-290817,3368431
,23,7,20,-290761,3367878
,23,7,20,-291120,3367326
,23,7,20,-291144,3366914
,23,7,20,-290802,3366494
,23,7,20,-290929,3365945
,23,7,20,-290935,3363439
,23,7,20,-291514,3363096
,23,7,20,-294365,3363460
,23,7,20,-295321,3360531
,23,7,20,-297213,3360447
,23,7,20,-297664,3362186
,23,7,20,-298310,3363014
,23,7,20,-299747,3362881
,23,7,20,-304517,3363342
,23,7,20,-304454,3365776
,23,7,20,-310064,3360486
,23,7,20,-313000,3360425
,23,7,20,-313280,3356241
,23,7,20,-315839,3356137
,23,7,20,-316190,3352519
,23,7,20,-322753,3352865
,23,7,20,-323028,3349912
,23,7,20,-326279,3349611
,23,7,20,-327197,3337502
,23,7,20,-328392,3337592
,23,7,20,-329050,3335638
,23,7,20,-330341,3335581
,23,7,20,-330896,3330000
,23,7,20,-330820,3326645
,23,7,20,-330079,3325758
,23,7,20,-329816,3324893
,23,7,20,-329976,3323027
,23,7,20,-330001,3322705
,23,7,20,-329882,3320711
,23,17,21,-218215,3383474
,23,17,21,-217914,3384941
,23,17,21,-218859,3385973
,23,17,21,-219799,3387061
,23,17,21,-220995,3386076
,23,17,21,-221884,3385641
,23,17,21,-222299,3386574
,23,17,21,-223435,3385787
,23,17,21,-224882,3385400
,23,17,21,-226679,3385641
,23,17,21,-228653,3385380
,23,17,21,-229580,3385107
,23,17,21,-230418,3384258
,23,17,21,-230859,3384142
,23,17,21,-231373,3384288
,23,17,21,-231905,3384972
,23,17,21,-232726,3385251
,23,17,21,-233016,3385617
,23,17,21,-233387,3386771
,23,17,21,-233952,3387357
,23,17,21,-234369,3387352
,23,17,21,-234620,3387973
,23,17,21,-236977,3387363
,23,17,21,-237604,3385562
,23,17,21,-246924,3386956
,23,17,21,-246738,3389693
,23,17,21,-252950,3390480
,23,17,21,-253543,3386140
,23,17,21,-257162,3386185
,23,17,21,-257081,3393627
,23,17,21,-261911,3394529
,23,17,21,-262644,3395625
,23,17,21,-266444,3392954
,23,17,21,-268201,3395295
,23,17,21,-270943,3395476
,21,6,22,321052,3343985
